f0,f1,f2,f3,f4,f5,f6,f7,f8,vendas
18.4,0.0,39,1,21,1,8.0,2.0,0.75,20
35.4,11.5,61,5,18,1,12.0,6.0,0.5,21
30.8,0.0,58,6,9,0,5.0,2.0,0.6,32
26.9,0.0,45,4,13,1,5.0,2.0,0.6,26
33.4,0.0,86,4,23,1,12.0,6.0,0.5,37
35.5,0.0,50,6,23,1,15.0,7.0,0.533,32
25.4,15.0,60,2,22,1,12.0,5.0,0.583,18
16.8,5.7,40,2,16,1,7.0,3.0,0.571,45
20.3,0.0,82,1,12,1,5.0,2.0,0.6,5
25.7,1.2,78,3,6,1,20.0,7.0,0.65,8
36.7,0.0,83,6,18,1,12.0,6.0,0.5,70
31.9,0.0,64,4,13,0,10.0,3.5,0.65,13
15.7,6.7,89,6,18,1,50.0,25.0,0.5,62
27.3,18.1,84,4,6,1,5.0,2.0,0.6,0
19.2,5.2,78,1,20,1,5.0,2.0,0.6,40
20.8,1.6,74,5,23,1,7.0,3.0,0.571,4
16.6,0.0,55,0,6,1,8.0,3.5,0.563,21
18.5,2.5,62,0,12,1,25.0,8.0,0.68,25
18.9,12.1,50,5,9,1,8.0,2.0,0.75,28
28.3,0.0,55,4,18,1,7.0,3.0,0.571,21
30.9,12.5,45,5,15,1,4.0,1.2,0.7,57
33.0,6.9,73,5,17,1,8.0,2.0,0.75,16
33.9,2.1,85,5,20,1,25.0,8.0,0.68,33
27.0,0.0,89,2,23,1,5.0,2.0,0.6,15
28.6,0.0,41,6,13,1,50.0,25.0,0.5,17
20.6,9.3,93,5,18,1,7.0,3.0,0.571,14
26.2,0.0,65,6,14,1,20.0,7.0,0.65,21
26.9,0.0,92,0,13,1,10.0,3.5,0.65,15
30.9,0.0,32,5,21,1,10.0,3.5,0.65,14
20.1,13.8,97,5,17,1,4.0,1.2,0.7,26
37.9,11.0,62,5,20,1,20.0,7.0,0.65,13
31.6,0.0,53,0,23,1,8.0,3.5,0.563,27
32.0,0.0,42,5,22,1,8.0,3.5,0.563,29
20.2,3.6,35,5,23,1,8.0,3.5,0.563,3
21.7,18.9,31,6,21,1,25.0,8.0,0.68,2
25.8,8.8,91,0,14,1,15.0,7.0,0.533,9
24.2,0.0,68,4,7,1,4.0,1.2,0.7,17
17.7,0.0,78,3,13,0,4.0,1.2,0.7,57
21.8,11.8,42,2,7,1,12.0,6.0,0.5,14
29.4,0.0,52,5,8,1,8.0,2.0,0.75,5
18.6,0.0,59,3,21,1,10.0,3.5,0.65,7
21.5,0.0,55,0,13,1,7.0,3.0,0.571,20
27.5,0.0,39,1,14,1,50.0,25.0,0.5,57
33.2,0.0,89,5,15,1,25.0,8.0,0.68,11
31.1,18.9,35,4,21,1,12.0,5.0,0.583,14
22.4,0.0,32,0,8,1,50.0,25.0,0.5,22
33.9,0.0,86,0,11,1,8.0,2.0,0.75,5
37.9,0.0,90,5,21,1,7.0,3.0,0.571,47
22.7,13.4,66,2,19,1,20.0,7.0,0.65,5
33.7,11.0,44,0,16,1,5.0,1.5,0.7,15
34.9,16.5,36,5,23,1,8.0,2.0,0.75,25
23.3,15.1,100,3,7,1,8.0,3.5,0.563,7
25.1,14.0,69,0,13,1,5.0,2.0,0.6,48
27.7,0.0,45,1,9,1,10.0,3.5,0.65,20
26.5,0.0,83,2,22,1,5.0,1.5,0.7,37
20.6,11.0,47,1,22,1,12.0,6.0,0.5,37
32.8,17.1,30,6,22,1,4.0,1.2,0.7,2
21.9,0.0,87,4,21,1,7.0,3.0,0.571,26
22.9,11.0,54,3,20,1,10.0,3.5,0.65,48
28.2,0.0,90,6,19,1,12.0,5.0,0.583,9
23.9,13.3,46,1,21,1,12.0,5.0,0.583,18
22.6,2.0,31,0,22,1,10.0,3.5,0.65,65
24.4,0.0,63,1,8,1,12.0,5.0,0.583,18
30.9,13.0,70,6,23,1,20.0,7.0,0.65,13
35.4,0.0,38,6,23,1,5.0,1.5,0.7,14
30.7,0.0,42,1,8,1,8.0,3.5,0.563,0
31.2,0.0,33,3,11,1,8.0,2.0,0.75,3
33.3,5.9,82,3,10,1,25.0,8.0,0.68,16
33.2,0.0,78,1,8,1,15.0,7.0,0.533,2
20.5,0.0,62,1,13,1,15.0,7.0,0.533,0
30.3,18.0,86,2,23,1,12.0,6.0,0.5,6
21.9,19.2,55,2,20,1,20.0,7.0,0.65,1
17.5,7.6,67,4,15,1,50.0,25.0,0.5,73
24.1,0.0,93,4,7,1,25.0,8.0,0.68,54
29.0,0.0,47,1,12,1,7.0,3.0,0.571,55
35.8,0.0,34,0,15,1,5.0,1.5,0.7,67
31.8,1.8,46,2,19,1,15.0,7.0,0.533,7
35.2,7.3,91,2,11,1,8.0,2.0,0.75,6
32.2,6.8,58,3,8,1,8.0,2.0,0.75,1
30.5,0.0,80,6,23,1,5.0,1.5,0.7,11
27.3,9.1,77,5,14,1,25.0,8.0,0.68,37
20.4,0.0,58,4,23,1,4.0,1.2,0.7,8
29.6,0.0,44,5,15,1,5.0,1.5,0.7,50
36.8,0.0,98,3,9,1,5.0,2.0,0.6,14
25.4,13.4,49,5,23,1,5.0,2.0,0.6,27
17.3,0.0,65,4,19,1,50.0,25.0,0.5,39
23.5,0.0,42,3,13,1,25.0,8.0,0.68,14
27.5,19.6,45,0,18,1,5.0,1.5,0.7,11
30.2,0.0,72,5,6,1,12.0,6.0,0.5,9
33.1,0.0,57,0,23,1,8.0,3.5,0.563,15
32.8,15.8,48,0,14,1,8.0,3.5,0.563,8
20.8,3.5,75,6,6,1,5.0,2.0,0.6,8
28.5,0.0,83,1,14,1,8.0,2.0,0.75,10
32.2,0.0,43,3,17,1,10.0,3.5,0.65,38
20.1,12.3,33,6,22,1,12.0,6.0,0.5,15
34.5,8.5,40,3,20,1,25.0,8.0,0.68,18
18.4,2.5,78,5,23,1,20.0,7.0,0.65,20
21.8,10.1,100,0,9,1,15.0,7.0,0.533,14
24.9,0.0,81,3,16,1,12.0,5.0,0.583,44
17.2,0.0,49,2,14,1,50.0,25.0,0.5,24
16.5,16.6,77,3,9,1,5.0,1.5,0.7,41
27.8,0.0,45,4,23,1,8.0,2.0,0.75,25
35.1,18.8,69,6,7,1,50.0,25.0,0.5,58
28.3,0.0,43,1,21,1,20.0,7.0,0.65,15
23.5,15.3,33,1,19,1,20.0,7.0,0.65,8
34.1,0.0,69,0,11,1,15.0,7.0,0.533,7
15.1,17.4,33,5,18,1,20.0,7.0,0.65,13
27.2,0.0,77,3,20,1,4.0,1.2,0.7,15
22.5,0.0,49,4,8,1,7.0,3.0,0.571,17
16.1,1.6,86,5,19,1,5.0,2.0,0.6,21
20.0,10.2,92,3,9,1,50.0,25.0,0.5,13
22.1,0.0,68,3,7,1,10.0,3.5,0.65,5
32.6,0.0,85,2,9,1,8.0,3.5,0.563,5
23.7,0.0,75,1,22,1,5.0,2.0,0.6,30
34.8,0.8,84,3,8,1,4.0,1.2,0.7,39
31.3,8.4,51,3,6,1,15.0,7.0,0.533,7
25.6,13.8,61,0,19,1,8.0,2.0,0.75,34
24.2,1.6,51,5,16,1,50.0,25.0,0.5,19
29.6,10.6,48,6,17,1,4.0,1.2,0.7,34
18.4,0.0,39,1,10,1,8.0,3.5,0.563,60
26.4,0.0,71,4,20,0,5.0,2.0,0.6,30
18.5,1.4,37,5,15,1,5.0,1.5,0.7,34
16.7,9.2,39,0,17,1,20.0,7.0,0.65,22
29.1,0.0,35,3,20,1,5.0,1.5,0.7,29
30.0,6.4,87,4,10,1,12.0,6.0,0.5,42
37.6,1.7,86,1,7,1,4.0,1.2,0.7,10
27.0,3.2,73,2,18,1,12.0,6.0,0.5,15
16.2,12.6,79,0,16,1,5.0,1.5,0.7,5
31.6,13.1,48,6,10,1,7.0,3.0,0.571,12
37.3,14.0,78,1,8,1,20.0,7.0,0.65,0
33.7,13.4,84,5,22,1,5.0,1.5,0.7,9
15.4,6.2,47,2,21,1,10.0,3.5,0.65,15
21.8,0.0,97,0,22,0,5.0,2.0,0.6,12
22.7,0.0,49,4,10,0,25.0,8.0,0.68,16
34.1,0.0,35,4,11,0,5.0,2.0,0.6,38
30.6,4.8,87,4,15,1,50.0,25.0,0.5,51
20.5,19.3,86,3,12,0,8.0,3.5,0.563,15
32.9,10.1,47,1,12,1,12.0,6.0,0.5,20
29.7,0.0,96,4,9,1,7.0,3.0,0.571,48
16.9,3.2,41,4,10,1,4.0,1.2,0.7,56
35.3,18.6,60,0,18,1,8.0,3.5,0.563,34
23.6,0.0,72,2,9,1,50.0,25.0,0.5,60
18.2,0.0,47,6,21,1,8.0,2.0,0.75,40
25.8,0.0,57,0,8,1,8.0,2.0,0.75,0
36.6,12.2,45,0,15,1,5.0,2.0,0.6,3
24.7,0.0,93,4,20,0,25.0,8.0,0.68,6
15.4,10.3,30,5,10,1,15.0,7.0,0.533,11
20.5,8.3,76,5,8,1,15.0,7.0,0.533,16
27.5,15.7,90,4,6,1,4.0,1.2,0.7,30
23.9,0.0,38,2,6,1,25.0,8.0,0.68,13
31.9,0.0,75,0,16,1,20.0,7.0,0.65,13
33.7,3.5,91,5,20,0,10.0,3.5,0.65,51
33.7,0.0,55,5,20,1,5.0,1.5,0.7,10
35.4,0.0,99,2,22,1,25.0,8.0,0.68,9
15.8,12.9,72,2,7,1,12.0,6.0,0.5,10
33.4,0.0,79,3,20,1,7.0,3.0,0.571,39
26.4,0.0,40,2,22,1,20.0,7.0,0.65,7
16.8,12.0,40,4,15,1,12.0,5.0,0.583,7
21.8,0.0,86,4,19,1,20.0,7.0,0.65,6
16.0,17.4,37,4,19,1,20.0,7.0,0.65,14
29.7,0.0,48,4,11,1,4.0,1.2,0.7,36
33.0,0.0,76,1,8,1,15.0,7.0,0.533,11
36.8,0.6,77,5,20,1,20.0,7.0,0.65,14
28.2,0.0,65,2,18,1,12.0,6.0,0.5,20
15.6,0.0,45,3,22,1,8.0,3.5,0.563,27
31.2,4.3,47,2,21,1,7.0,3.0,0.571,7
19.0,14.3,38,6,16,1,4.0,1.2,0.7,40
21.7,6.0,95,5,11,1,10.0,3.5,0.65,35
37.7,0.0,33,1,13,0,8.0,3.5,0.563,49
28.2,9.3,80,1,8,1,20.0,7.0,0.65,0
26.0,0.0,39,6,19,1,12.0,5.0,0.583,7
29.8,9.0,100,4,17,1,5.0,2.0,0.6,11
19.2,19.3,96,4,7,1,5.0,1.5,0.7,17
18.8,6.5,96,1,17,1,5.0,2.0,0.6,56
20.8,0.0,68,4,14,1,7.0,3.0,0.571,23
17.1,12.8,73,4,10,1,15.0,7.0,0.533,0
34.0,0.0,63,0,7,1,15.0,7.0,0.533,46
32.6,0.0,99,4,6,1,5.0,1.5,0.7,23
37.0,0.0,39,1,18,1,7.0,3.0,0.571,13
18.6,0.0,48,3,20,1,12.0,5.0,0.583,10
22.3,0.0,95,3,10,1,20.0,7.0,0.65,24
22.3,0.0,48,0,14,1,10.0,3.5,0.65,23
21.7,0.0,50,6,19,1,4.0,1.2,0.7,26
31.6,3.8,69,3,22,1,20.0,7.0,0.65,0
17.1,0.0,57,4,20,1,12.0,6.0,0.5,83
16.1,5.6,31,6,21,1,15.0,7.0,0.533,15
18.1,5.3,81,6,18,1,4.0,1.2,0.7,7
27.9,7.3,100,0,18,1,25.0,8.0,0.68,49
30.6,2.4,73,3,17,1,7.0,3.0,0.571,21
32.4,4.0,34,3,22,1,10.0,3.5,0.65,1
22.7,0.0,95,4,20,1,5.0,2.0,0.6,16
36.4,6.4,94,4,15,1,5.0,2.0,0.6,41
26.3,11.3,44,6,6,1,10.0,3.5,0.65,33
22.1,18.0,63,5,6,1,50.0,25.0,0.5,7
28.3,14.4,78,3,11,1,5.0,1.5,0.7,25
20.6,0.0,86,5,9,1,5.0,2.0,0.6,20
18.5,13.8,37,4,21,1,20.0,7.0,0.65,3
26.9,0.0,70,2,21,1,12.0,5.0,0.583,30
36.0,6.8,54,5,14,1,5.0,2.0,0.6,46
27.8,4.5,92,6,15,1,8.0,3.5,0.563,13
23.0,18.7,99,5,14,0,20.0,7.0,0.65,17
33.8,19.1,40,1,15,0,50.0,25.0,0.5,0
30.1,14.9,64,1,23,1,20.0,7.0,0.65,0
29.2,0.0,97,1,13,1,5.0,2.0,0.6,2
20.4,0.0,42,3,16,1,8.0,3.5,0.563,0
15.1,0.0,90,1,19,1,5.0,1.5,0.7,41
19.6,0.0,41,2,15,1,12.0,6.0,0.5,0
20.3,14.8,52,1,19,1,5.0,1.5,0.7,19
33.1,3.7,31,6,15,1,25.0,8.0,0.68,43
28.9,18.6,99,2,20,1,7.0,3.0,0.571,30
35.5,2.7,44,3,14,1,10.0,3.5,0.65,6
31.8,0.0,73,2,11,1,20.0,7.0,0.65,10
28.1,15.1,95,4,18,1,8.0,2.0,0.75,61
24.2,0.0,61,1,10,1,20.0,7.0,0.65,34
23.8,8.9,31,2,15,1,25.0,8.0,0.68,32
23.3,0.0,50,0,9,1,7.0,3.0,0.571,26
26.6,0.0,67,6,15,1,50.0,25.0,0.5,31
20.1,19.1,77,1,20,1,20.0,7.0,0.65,19
27.6,0.0,57,6,23,1,50.0,25.0,0.5,17
30.6,0.0,97,6,8,1,8.0,2.0,0.75,28
16.8,11.3,55,6,23,1,12.0,5.0,0.583,10
18.4,6.6,92,3,9,1,15.0,7.0,0.533,13
25.2,1.1,37,4,19,1,4.0,1.2,0.7,6
30.5,6.2,57,3,14,1,10.0,3.5,0.65,64
16.0,0.0,37,5,8,1,15.0,7.0,0.533,18
15.7,8.2,78,1,19,0,4.0,1.2,0.7,10
23.6,13.7,74,6,23,1,12.0,6.0,0.5,8
37.8,0.0,58,4,10,1,4.0,1.2,0.7,68
37.5,0.0,78,5,23,1,25.0,8.0,0.68,8
25.6,0.0,44,2,12,1,8.0,3.5,0.563,67
24.6,0.0,42,0,13,0,25.0,8.0,0.68,4
25.3,0.0,35,5,7,1,15.0,7.0,0.533,13
20.4,4.3,67,0,10,0,50.0,25.0,0.5,31
28.3,0.0,48,4,16,1,8.0,3.5,0.563,4
20.1,6.0,84,4,11,1,5.0,1.5,0.7,28
16.1,6.9,70,5,18,1,10.0,3.5,0.65,63
24.4,6.0,58,6,23,1,12.0,5.0,0.583,5
18.3,0.0,83,0,23,1,7.0,3.0,0.571,15
18.1,4.9,77,2,8,1,10.0,3.5,0.65,70
31.7,3.8,54,3,7,1,4.0,1.2,0.7,17
31.7,11.2,31,1,16,1,8.0,2.0,0.75,15
37.1,0.0,56,5,21,1,8.0,3.5,0.563,48
27.7,0.0,75,2,18,0,50.0,25.0,0.5,41
23.3,17.7,70,0,21,1,7.0,3.0,0.571,18
22.2,0.9,100,5,10,1,8.0,3.5,0.563,9
31.6,5.9,61,2,13,1,15.0,7.0,0.533,10
30.1,13.7,92,6,21,1,12.0,6.0,0.5,43
31.9,0.0,92,1,10,1,12.0,6.0,0.5,26
37.8,19.1,36,0,8,1,5.0,2.0,0.6,44
24.5,0.0,31,1,8,1,8.0,2.0,0.75,22
25.5,1.2,32,5,21,1,8.0,3.5,0.563,33
27.7,0.2,66,5,14,1,25.0,8.0,0.68,42
33.7,13.5,97,1,9,0,25.0,8.0,0.68,48
19.4,0.0,80,2,17,1,5.0,2.0,0.6,23
37.1,9.2,40,5,13,1,4.0,1.2,0.7,18
32.5,0.0,90,3,18,1,5.0,1.5,0.7,14
15.2,0.0,72,0,21,1,25.0,8.0,0.68,19
35.6,0.0,90,1,12,1,15.0,7.0,0.533,45
36.3,0.0,34,2,23,1,7.0,3.0,0.571,38
15.4,4.1,68,6,18,1,5.0,2.0,0.6,68
20.5,16.7,47,5,23,1,5.0,2.0,0.6,12
31.7,0.0,85,5,17,1,8.0,2.0,0.75,4
22.8,0.0,71,4,18,0,8.0,3.5,0.563,64
21.3,0.0,78,3,13,1,25.0,8.0,0.68,5
30.6,0.0,67,3,8,1,50.0,25.0,0.5,32
31.4,0.0,49,2,10,1,8.0,2.0,0.75,20
22.3,2.1,64,2,20,1,12.0,5.0,0.583,14
17.0,0.0,82,3,23,1,4.0,1.2,0.7,42
17.1,0.0,31,0,16,1,4.0,1.2,0.7,66
23.9,1.7,78,1,22,1,7.0,3.0,0.571,6
21.2,0.0,85,3,10,1,5.0,2.0,0.6,7
21.9,15.7,93,2,13,1,7.0,3.0,0.571,18
19.5,2.1,78,0,18,1,15.0,7.0,0.533,9
25.1,8.6,55,4,10,1,8.0,2.0,0.75,23
19.1,8.0,61,2,21,1,12.0,6.0,0.5,30
21.4,15.7,99,0,12,1,20.0,7.0,0.65,16
32.7,0.0,56,5,20,1,5.0,2.0,0.6,43
34.1,1.4,47,6,19,0,12.0,6.0,0.5,36
20.6,13.2,91,3,18,1,5.0,1.5,0.7,1
27.3,18.5,76,3,23,1,15.0,7.0,0.533,0
28.7,18.3,75,6,13,1,12.0,5.0,0.583,23
29.1,0.0,72,5,18,1,5.0,2.0,0.6,47
17.4,2.0,58,4,22,1,8.0,2.0,0.75,26
24.0,15.4,33,5,22,1,12.0,6.0,0.5,9
21.8,0.0,73,0,10,1,12.0,6.0,0.5,14
27.0,0.0,87,3,9,1,12.0,6.0,0.5,9
21.9,0.0,73,5,9,0,20.0,7.0,0.65,0
30.6,0.0,100,5,13,1,5.0,1.5,0.7,33
27.9,19.2,53,6,18,1,5.0,2.0,0.6,47
24.9,0.0,84,5,12,1,5.0,1.5,0.7,26
31.2,0.0,98,2,8,1,50.0,25.0,0.5,37
22.5,9.2,70,5,21,1,5.0,2.0,0.6,41
29.1,11.7,68,2,20,1,15.0,7.0,0.533,20
16.9,2.7,77,1,15,1,15.0,7.0,0.533,1
26.7,0.0,84,4,10,1,12.0,5.0,0.583,40
29.6,13.9,66,1,23,1,5.0,2.0,0.6,12
22.2,0.0,31,4,7,1,5.0,2.0,0.6,62
19.5,0.0,82,4,22,1,12.0,6.0,0.5,62
24.6,16.8,58,1,8,1,5.0,1.5,0.7,25
21.3,0.0,93,2,11,1,7.0,3.0,0.571,60
17.6,2.3,35,4,17,0,10.0,3.5,0.65,50
25.2,0.0,61,3,9,1,8.0,2.0,0.75,5
25.3,0.0,45,6,8,1,7.0,3.0,0.571,26
19.8,0.0,84,4,17,1,8.0,2.0,0.75,66
18.2,4.1,98,6,7,1,5.0,2.0,0.6,27
27.4,6.5,95,2,15,1,7.0,3.0,0.571,41
18.1,0.0,65,6,19,0,5.0,1.5,0.7,44
31.1,0.0,61,1,10,1,5.0,1.5,0.7,66
24.0,0.0,78,4,14,1,8.0,2.0,0.75,28
29.6,0.0,65,0,18,0,12.0,6.0,0.5,32
25.5,9.8,88,0,8,1,12.0,5.0,0.583,20
31.0,0.0,84,6,23,1,5.0,1.5,0.7,18
21.2,16.6,92,4,10,1,8.0,3.5,0.563,39
35.6,15.2,50,0,20,1,8.0,2.0,0.75,18
15.0,19.2,68,5,10,1,12.0,6.0,0.5,17
17.1,7.2,69,2,11,1,5.0,2.0,0.6,12
32.4,0.0,30,5,8,1,12.0,5.0,0.583,6
16.8,11.9,73,5,20,1,8.0,3.5,0.563,17
31.0,9.6,43,3,8,1,4.0,1.2,0.7,14
23.5,6.0,48,6,10,1,4.0,1.2,0.7,39
28.0,12.2,49,3,17,1,4.0,1.2,0.7,33
30.8,17.2,79,0,10,1,50.0,25.0,0.5,8
22.2,2.8,66,5,8,1,20.0,7.0,0.65,5
15.6,0.0,95,2,12,1,8.0,2.0,0.75,0
24.0,0.0,44,0,13,1,8.0,3.5,0.563,27
29.7,1.4,83,2,16,1,8.0,3.5,0.563,9
30.7,15.3,31,0,6,0,20.0,7.0,0.65,14
15.9,0.0,94,6,18,1,7.0,3.0,0.571,32
24.7,8.0,65,4,23,1,8.0,2.0,0.75,28
16.8,18.4,38,1,23,0,4.0,1.2,0.7,5
25.1,0.0,85,0,13,1,7.0,3.0,0.571,7
29.1,1.1,47,5,11,1,4.0,1.2,0.7,4
18.8,0.0,63,4,22,1,12.0,5.0,0.583,61
17.9,15.6,33,5,9,1,5.0,2.0,0.6,76
21.3,1.3,95,4,8,1,20.0,7.0,0.65,2
26.5,0.0,43,1,17,1,20.0,7.0,0.65,0
31.6,0.0,31,5,22,1,15.0,7.0,0.533,12
25.9,0.0,34,1,11,1,8.0,3.5,0.563,52
32.0,0.0,70,1,16,1,10.0,3.5,0.65,22
28.1,0.0,96,4,7,1,7.0,3.0,0.571,5
16.6,9.3,100,6,15,1,25.0,8.0,0.68,16
23.5,0.0,61,4,15,1,12.0,6.0,0.5,37
28.6,9.9,99,6,12,0,12.0,6.0,0.5,18
18.5,0.0,31,0,13,1,8.0,2.0,0.75,16
32.5,0.0,97,6,15,1,20.0,7.0,0.65,18
26.3,1.2,59,5,14,1,8.0,3.5,0.563,7
31.1,7.4,80,0,9,1,10.0,3.5,0.65,26
28.1,8.7,70,1,15,1,4.0,1.2,0.7,17
31.1,14.7,55,3,14,1,8.0,2.0,0.75,21
17.5,2.1,98,3,16,1,5.0,2.0,0.6,15
25.4,0.0,68,2,9,1,20.0,7.0,0.65,0
28.9,0.0,61,6,16,1,12.0,5.0,0.583,0
26.8,13.5,81,6,11,1,20.0,7.0,0.65,13
32.2,5.0,37,0,10,1,12.0,6.0,0.5,7
18.0,0.0,63,2,8,1,8.0,2.0,0.75,16
37.9,0.0,41,5,20,1,4.0,1.2,0.7,47
17.8,18.8,80,1,19,1,8.0,2.0,0.75,47
23.8,0.0,53,1,17,1,12.0,6.0,0.5,28
25.3,3.0,93,4,13,1,7.0,3.0,0.571,16
26.0,1.8,97,1,19,1,50.0,25.0,0.5,29
37.9,0.0,75,6,6,1,8.0,3.5,0.563,32
33.0,6.9,53,4,16,1,12.0,6.0,0.5,9
28.7,0.6,90,6,14,0,25.0,8.0,0.68,13
32.6,20.0,64,0,13,1,10.0,3.5,0.65,36
16.3,0.0,52,4,18,1,10.0,3.5,0.65,27
28.6,0.0,33,5,17,0,5.0,2.0,0.6,39
23.1,0.0,54,4,10,1,12.0,5.0,0.583,33
27.5,3.5,58,0,7,1,8.0,2.0,0.75,15
26.0,6.6,52,1,10,1,25.0,8.0,0.68,11
16.4,3.0,76,1,9,1,8.0,2.0,0.75,21
31.2,13.2,47,0,16,1,4.0,1.2,0.7,8
36.8,0.0,52,5,21,0,5.0,2.0,0.6,15
31.0,18.6,52,2,13,0,12.0,5.0,0.583,37
31.9,5.9,80,5,6,1,50.0,25.0,0.5,53
15.7,12.0,43,4,13,0,8.0,2.0,0.75,16
22.6,0.0,51,1,17,1,12.0,6.0,0.5,63
33.9,0.0,63,5,16,1,5.0,1.5,0.7,38
30.9,0.0,36,2,9,1,8.0,3.5,0.563,15
31.8,19.4,78,3,18,1,50.0,25.0,0.5,37
33.1,11.6,39,5,13,0,4.0,1.2,0.7,14
21.8,0.0,51,2,9,1,8.0,2.0,0.75,5
31.8,0.0,91,0,16,1,50.0,25.0,0.5,36
24.9,0.0,42,1,19,1,12.0,5.0,0.583,12
37.4,0.0,99,5,23,1,20.0,7.0,0.65,11
21.5,0.0,100,0,7,1,7.0,3.0,0.571,14
16.3,0.0,91,3,8,1,12.0,6.0,0.5,20
15.6,0.0,90,5,15,1,8.0,3.5,0.563,58
33.1,9.4,79,2,8,1,4.0,1.2,0.7,13
35.4,7.4,63,0,14,1,5.0,2.0,0.6,19
28.0,3.0,74,5,9,1,8.0,3.5,0.563,4
24.5,15.1,96,4,7,1,8.0,2.0,0.75,25
30.8,18.7,80,1,21,1,50.0,25.0,0.5,4
26.5,0.0,87,6,10,1,12.0,5.0,0.583,15
37.4,0.0,40,1,10,0,5.0,2.0,0.6,5
19.6,16.5,38,6,14,1,5.0,1.5,0.7,31
27.8,11.0,31,4,20,1,4.0,1.2,0.7,21
29.3,0.0,49,6,19,1,8.0,2.0,0.75,5
28.5,15.2,98,0,9,1,5.0,2.0,0.6,36
21.1,13.1,65,4,21,1,20.0,7.0,0.65,0
29.2,0.0,72,5,18,1,50.0,25.0,0.5,21
16.1,0.0,68,2,17,1,12.0,5.0,0.583,7
34.4,17.2,86,0,13,1,7.0,3.0,0.571,6
21.2,8.3,82,0,12,1,8.0,2.0,0.75,17
